parsed_from,year,month,region,median,mean,modal
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D0%BA,2022,февраль,донецк,29200.0,57039.0,100000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D0%BA,2024,апрель,донецк,30000.0,68024.0,19000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2023,апрель,волгоград,35000.0,55774.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B2%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4,2023,февраль,волгоград,30500.0,48751.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2024,апрель,саратов,39000.0,57350.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B4%D0%BE%D0%BD%D0%B5%D1%86%D0%BA,2024,декабрь,донецк,30000.0,68024.0,19000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BF%D0%B5%D1%80%D0%BC%D1%8C,2023,апрель,пермь,35000.0,56389.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2024,октябрь,саратов,39000.0,57350.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2023,апрель,саратов,35000.0,58299.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2024,апрель,тюмень,40000.0,68515.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2022,февраль,саратов,30000.0,43610.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2023,февраль,саратов,34000.0,51433.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D1%81%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2,2024,декабрь,саратов,39000.0,57350.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2023,февраль,тольятти,31200.0,48730.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2023,февраль,тюмень,35000.0,55014.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2024,декабрь,тольятти,40000.0,54723.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2024,октябрь,тольятти,40000.0,54723.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2022,февраль,тюмень,33000.0,50132.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2023,апрель,тюмень,37600.0,56659.0,50000.0
